lat,lng,address
37.70996,-122.41584,"590 Sawyer St, San Francisco, CA 94134, USA"
37.78281,-122.5106,"2301-2409 El Camino Del Mar, Golden Gate National Recreation Area, Lands End, San Francisco, CA 94121, USA"
37.70384,-122.48664,"98 Northgate Ct, Daly City, CA 94015, USA"
37.8067,-122.47804,"Cranston Rd, Golden Gate National Recreation Area, San Francisco, CA 94129, USA"
37.70823,-122.45989,"126 Wilson St, San Francisco, CA 94112, USA"
37.71582,-122.44423,"79 Mt Vernon Ave, San Francisco, CA 94112, USA"
37.7087,-122.42164,"1998 Geneva Ave, San Francisco, CA 94134, USA"
37.75,-122.488,"1995 30th Ave, San Francisco, CA 94116, USA"
37.70551,-122.49828,"1001-1089 State Highway 35, Daly City, CA 94015, USA"
37.78236,-122.44007,"2107 O'Farrell St, San Francisco, CA 94115, USA"
